"execution_time","account_name","symbol","side","executed_qty","entry_price","exit_price","realized_pnl","execution_type","trade_id","created_time","fee","fee_currency","data_source","import_timestamp","raw_data"
"2025-07-06T14:04:00.000Z","Claude Projekt","SOLUSDT","BUY","5.7","146.47","151.54","-29.95554887","Trade","exec_sol_buy_4ec_42.gx4bipx4b_1","2025-07-06T14:04:00.000Z","0","USDT","CSV_IMPORT","2025-07-09T08:38:36.096Z","{""contracts"":""SOLUSDT"",""tradeType"":""BUY"",""qty"":5.7,""entryPrice"":146.47,""realizedPnL"":-29.95554887,""filledPrice"":151.54,""exitType"":""Trade"",""filledTime"":""14:04 2025-07-06"",""createTime"":""14:04 2025-07-06""}"
"2025-07-04T22:41:00.000Z","Claude Projekt","RUNEUSDT","BUY","562.9","1.305","1.321","-9.81939648","Trade","exec_rune_buy_c2c4_1.aza2voha2v_2","2025-07-04T22:41:00.000Z","0","USDT","CSV_IMPORT","2025-07-09T08:38:36.096Z","{""contracts"":""RUNEUSDT"",""tradeType"":""BUY"",""qty"":562.9,""entryPrice"":1.305,""realizedPnL"":-9.81939648,""filledPrice"":1.321,""exitType"":""Trade"",""filledTime"":""22:41 2025-07-04"",""createTime"":""22:41 2025-07-04""}"
"2025-07-04T14:00:00.000Z","Claude Projekt","SOLUSDT","SELL","4.5","153.03","148.46","-21.40328656","Trade","exec_sol_sell_3h0_49.12voha2vp_3","2025-07-04T14:00:00.000Z","0","USDT","CSV_IMPORT","2025-07-09T08:38:36.096Z","{""contracts"":""SOLUSDT"",""tradeType"":""SELL"",""qty"":4.5,""entryPrice"":153.03,""realizedPnL"":-21.40328656,""filledPrice"":148.46,""exitType"":""Trade"",""filledTime"":""14:00 2025-07-04"",""createTime"":""14:00 2025-07-04""}"
"2025-07-04T12:00:00.000Z","Claude Projekt","ETHUSDT","SELL","0.26","2596.24","2548.13","-13.42518376","Trade","exec_eth_sell_78_204.8n1fu8n1_4","2025-07-04T12:00:00.000Z","0","USDT","CSV_IMPORT","2025-07-09T08:38:36.096Z","{""contracts"":""ETHUSDT"",""tradeType"":""SELL"",""qty"":0.26,""entryPrice"":2596.24,""realizedPnL"":-13.42518376,""filledPrice"":2548.13,""exitType"":""Trade"",""filledTime"":""12:00 2025-07-04"",""createTime"":""12:00 2025-07-04""}"
"2025-07-03T05:34:00.000Z","Claude Projekt","RUNEUSDT","SELL","556.5","1.384","1.407","11.86839202","Trade","exec_rune_sell_bxec_1.dtnwjl0v3qf_5","2025-07-03T05:34:00.000Z","0","USDT","CSV_IMPORT","2025-07-09T08:38:36.096Z","{""contracts"":""RUNEUSDT"",""tradeType"":""SELL"",""qty"":556.5,""entryPrice"":1.384,""realizedPnL"":11.86839202,""filledPrice"":1.407,""exitType"":""Trade"",""filledTime"":""05:34 2025-07-03"",""createTime"":""05:34 2025-07-03""}"
"2025-07-02T22:00:00.000Z","Claude Projekt","SOLUSDT","BUY","5.2","149.09","153.79","-25.45891188","Trade","exec_sol_buy_40g_45.38n1fu8n2_6","2025-07-02T22:00:00.000Z","0","USDT","CSV_IMPORT","2025-07-09T08:38:36.096Z","{""contracts"":""SOLUSDT"",""tradeType"":""BUY"",""qty"":5.2,""entryPrice"":149.09,""realizedPnL"":-25.45891188,""filledPrice"":153.79,""exitType"":""Trade"",""filledTime"":""22:00 2025-07-02"",""createTime"":""22:00 2025-07-02""}"
"2025-07-02T16:16:00.000Z","Claude Projekt","RUNEUSDT","SELL","570.5","1.35","1.378","15.0408902","Trade","exec_rune_sell_c878_1.cllllllllm_7","2025-07-02T16:16:00.000Z","0","USDT","CSV_IMPORT","2025-07-09T08:38:36.096Z","{""contracts"":""RUNEUSDT"",""tradeType"":""SELL"",""qty"":570.5,""entryPrice"":1.35,""realizedPnL"":15.0408902,""filledPrice"":1.378,""exitType"":""Trade"",""filledTime"":""16:16 2025-07-02"",""createTime"":""16:16 2025-07-02""}"
"2025-07-02T15:08:00.000Z","Claude Projekt","RUNEUSDT","SELL","580.4","1.326","1.344","9.51815372","Trade","exec_rune_sell_cfu8_1.bqhutdjanmf_8","2025-07-02T15:08:00.000Z","0","USDT","CSV_IMPORT","2025-07-09T08:38:36.096Z","{""contracts"":""RUNEUSDT"",""tradeType"":""SELL"",""qty"":580.4,""entryPrice"":1.326,""realizedPnL"":9.51815372,""filledPrice"":1.344,""exitType"":""Trade"",""filledTime"":""15:08 2025-07-02"",""createTime"":""15:08 2025-07-02""}"
"2025-07-01T12:02:00.000Z","Claude Projekt","CVXUSDT","BUY","334.45","2.27135491","2.27232206","-1.56230325","Trade","exec_cvx_buy_762a_2.9roc1qvhtx_9","2025-07-01T11:58:00.000Z","0","USDT","CSV_IMPORT","2025-07-09T08:38:36.096Z","{""contracts"":""CVXUSDT"",""tradeType"":""BUY"",""qty"":334.45,""entryPrice"":2.27135491,""realizedPnL"":-1.56230325,""filledPrice"":2.27232206,""exitType"":""Trade"",""filledTime"":""12:02 2025-07-01"",""createTime"":""11:58 2025-07-01""}"
"2025-07-01T06:00:00.000Z","Claude Projekt","SOLUSDT","SELL","5.7","157.33","151.21","-35.90698998","Trade","exec_sol_sell_4ec_4d.bvoha2voj_10","2025-07-01T06:00:00.000Z","0","USDT","CSV_IMPORT","2025-07-09T08:38:36.096Z","{""contracts"":""SOLUSDT"",""tradeType"":""SELL"",""qty"":5.7,""entryPrice"":157.33,""realizedPnL"":-35.90698998,""filledPrice"":151.21,""exitType"":""Trade"",""filledTime"":""06:00 2025-07-01"",""createTime"":""06:00 2025-07-01""}"
"2025-06-30T06:41:00.000Z","Claude Projekt","BTCUSDT","SELL","0.007","108650.1","107778.9","-6.93165166","Trade","exec_btc_sell_7_2bu2.3lllllm_11","2025-06-30T06:41:00.000Z","0","USDT","CSV_IMPORT","2025-07-09T08:38:36.096Z","{""contracts"":""BTCUSDT"",""tradeType"":""SELL"",""qty"":0.007,""entryPrice"":108650.1,""realizedPnL"":-6.93165166,""filledPrice"":107778.9,""exitType"":""Trade"",""filledTime"":""06:41 2025-06-30"",""createTime"":""06:41 2025-06-30""}"
"2025-06-30T01:16:00.000Z","Claude Projekt","CVXUSDT","SELL","379.24","2.4478399","2.38264138","-25.77964191","Trade","exec_cvx_sell_84mg_2.g4ef27oc3r_12","2025-06-30T01:16:00.000Z","0","USDT","CSV_IMPORT","2025-07-09T08:38:36.096Z","{""contracts"":""CVXUSDT"",""tradeType"":""SELL"",""qty"":379.24,""entryPrice"":2.4478399,""realizedPnL"":-25.77964191,""filledPrice"":2.38264138,""exitType"":""Trade"",""filledTime"":""01:16 2025-06-30"",""createTime"":""01:16 2025-06-30""}"
"2025-06-29T14:02:00.000Z","Claude Projekt","CVXUSDT","SELL","389.63","2.42882086","2.3875632","-17.15457746","Trade","exec_cvx_sell_8cn2_2.ffr2dlctsw_13","2025-06-29T14:02:00.000Z","0","USDT","CSV_IMPORT","2025-07-09T08:38:36.096Z","{""contracts"":""CVXUSDT"",""tradeType"":""SELL"",""qty"":389.63,""entryPrice"":2.42882086,""realizedPnL"":-17.15457746,""filledPrice"":2.3875632,""exitType"":""Trade"",""filledTime"":""14:02 2025-06-29"",""createTime"":""14:02 2025-06-29""}"
"2025-06-28T16:06:00.000Z","Claude Projekt","SOLUSDT","SELL","6.5","143.54","149.01","34.23285037","Trade","exec_sol_sell_50k_3z.jfu8n1fu8_14","2025-06-28T16:06:00.000Z","0","USDT","CSV_IMPORT","2025-07-09T08:38:36.096Z","{""contracts"":""SOLUSDT"",""tradeType"":""SELL"",""qty"":6.5,""entryPrice"":143.54,""realizedPnL"":34.23285037,""filledPrice"":149.01,""exitType"":""Trade"",""filledTime"":""16:06 2025-06-28"",""createTime"":""16:06 2025-06-28""}"
"2025-06-27T20:33:00.000Z","Claude Projekt","RUNEUSDT","BUY","610.7","1.302","1.325","-14.9284699","Trade","exec_rune_buy_d37w_1.ave415gzpn_15","2025-06-27T20:33:00.000Z","0","USDT","CSV_IMPORT","2025-07-09T08:38:36.096Z","{""contracts"":""RUNEUSDT"",""tradeType"":""BUY"",""qty"":610.7,""entryPrice"":1.302,""realizedPnL"":-14.9284699,""filledPrice"":1.325,""exitType"":""Trade"",""filledTime"":""20:33 2025-06-27"",""createTime"":""20:33 2025-06-27""}"
"2025-06-26T19:24:00.000Z","Claude Projekt","RUNEUSDT","BUY","718.1","1.309","1.328","-14.70043907","Trade","exec_rune_buy_fe38_1.b4gpcdtnwjh_16","2025-06-26T19:24:00.000Z","0","USDT","CSV_IMPORT","2025-07-09T08:38:36.096Z","{""contracts"":""RUNEUSDT"",""tradeType"":""BUY"",""qty"":718.1,""entryPrice"":1.309,""realizedPnL"":-14.70043907,""filledPrice"":1.328,""exitType"":""Trade"",""filledTime"":""19:24 2025-06-26"",""createTime"":""19:24 2025-06-26""}"
"2025-06-26T01:34:00.000Z","Claude Projekt","CVXUSDT","BUY","393.28","2.441","2.49118115","-20.79200253","Trade","exec_cvx_buy_8fgg_2.fvjanm6c3g_17","2025-06-26T01:34:00.000Z","0","USDT","CSV_IMPORT","2025-07-09T08:38:36.096Z","{""contracts"":""CVXUSDT"",""tradeType"":""BUY"",""qty"":393.28,""entryPrice"":2.441,""realizedPnL"":-20.79200253,""filledPrice"":2.49118115,""exitType"":""Trade"",""filledTime"":""01:34 2025-06-26"",""createTime"":""01:34 2025-06-26""}"
